time_start,station_id,station_name,region_id,region_name,Mean_CH4,ffm,tm,p0m,rrr24,nm,um
3/21/2019,88118,Zanjan (Airport),OITZ,Zanjan,1862.72377,1.4,-1.1,834.92,0.01,4,59
3/22/2019,88118,Zanjan (Airport),OITZ,Zanjan,1866.891913,2.6,2,835.52,0,1.2,51.6
3/23/2019,88118,Zanjan (Airport),OITZ,Zanjan,1864.162651,4,7,832.64,0,4.6,45.4
3/24/2019,88118,Zanjan (Airport),OITZ,Zanjan,1870.180762,5.2,6.1,829.32,0.01,7.4,74.4
3/25/2019,88118,Zanjan (Airport),OITZ,Zanjan,1864.447895,8.2,6.4,826,7,8,87.4
3/26/2019,88118,Zanjan (Airport),OITZ,Zanjan,1868.409872,0.8,2.8,828.92,17,8,98.2
3/27/2019,88118,Zanjan (Airport),OITZ,Zanjan,1875.518484,2.8,4.6,831.9,9,6.8,70
3/28/2019,88118,Zanjan (Airport),OITZ,Zanjan,1877.149962,4.6,5.4,833.7,0.61,7,71.8
3/29/2019,88118,Zanjan (Airport),OITZ,Zanjan,1876.447969,4.8,5.7,835.04,0.01,7.4,65.8
3/30/2019,88118,Zanjan (Airport),OITZ,Zanjan,1880.487422,4.8,8,834.3,0.01,7.6,65.2
3/31/2019,88118,Zanjan (Airport),OITZ,Zanjan,1879.095422,8.85714,8,833,5,8,85.7143
4/1/2019,88118,Zanjan (Airport),OITZ,Zanjan,1868.24864,5.16667,5.6,827.933,12,7.83333,87.8333
4/2/2019,88118,Zanjan (Airport),OITZ,Zanjan,1867.460702,5.8,5.3,830.8,1,6.4,74.2
4/3/2019,88118,Zanjan (Airport),OITZ,Zanjan,1886.547553,3.6,7,834.02,0,4.4,59.8
4/4/2019,88118,Zanjan (Airport),OITZ,Zanjan,1876.500766,5.6,8.6,835.9,0.6,4.4,60.4
4/5/2019,88118,Zanjan (Airport),OITZ,Zanjan,1875.743033,2.6,8.2,837.84,0.01,6.4,69.4
4/6/2019,88118,Zanjan (Airport),OITZ,Zanjan,1886.637285,4.8,10.4,834.56,3,6.4,67.4
4/7/2019,88118,Zanjan (Airport),OITZ,Zanjan,1882.046451,4.25,9.3,832.92,0.01,6.5,67
4/8/2019,88118,Zanjan (Airport),OITZ,Zanjan,1882.684479,1.4,9.5,831.56,6,7.4,77
4/9/2019,88118,Zanjan (Airport),OITZ,Zanjan,1885.990692,2.2,10.7,831.22,0,5,63.8
4/10/2019,88118,Zanjan (Airport),OITZ,Zanjan,1880.438065,4,11.2,833.78,0.01,3.2,47.4
4/11/2019,88118,Zanjan (Airport),OITZ,Zanjan,1887.270657,3.2,11.6,834.58,0,6,50.6
4/12/2019,88118,Zanjan (Airport),OITZ,Zanjan,1889.040448,1.8,11.1,833.56,2,7,63
4/13/2019,88118,Zanjan (Airport),OITZ,Zanjan,1879.69715,2.6,8.5,834.46,0.2,3.4,55.4
4/14/2019,88118,Zanjan (Airport),OITZ,Zanjan,1865.824406,1.8,9.4,835.3,0,0.6,45.6
4/15/2019,88118,Zanjan (Airport),OITZ,Zanjan,1887.017311,1.8,13.2,834.06,0,4,32.6
4/16/2019,88118,Zanjan (Airport),OITZ,Zanjan,1892.077864,5.2,12.9,832.9,0,6.6,36.2
4/17/2019,88118,Zanjan (Airport),OITZ,Zanjan,1895.537858,11.6,16,827.6,0,6,32.6
4/18/2019,88118,Zanjan (Airport),OITZ,Zanjan,1891.548026,4.8,11.3,832.04,0,4.2,29
4/19/2019,88118,Zanjan (Airport),OITZ,Zanjan,1886.716488,5.2,10.7,829.6,6,7,60
4/20/2019,88118,Zanjan (Airport),OITZ,Zanjan,1895.138754,3.2,8.2,829.5,1,5.6,57.2
4/21/2019,88118,Zanjan (Airport),OITZ,Zanjan,1859.896255,4.4,6.6,830.32,0,2.8,50.2
4/22/2019,88118,Zanjan (Airport),OITZ,Zanjan,1869.911589,8,3.9,827.9,6,7.6,84
4/23/2019,88118,Zanjan (Airport),OITZ,Zanjan,1869.153822,3,2.1,836.02,5.01,7,70.2
4/24/2019,88118,Zanjan (Airport),OITZ,Zanjan,1875.889822,2.4,1.4,841.24,0,2.8,53.4
4/25/2019,88118,Zanjan (Airport),OITZ,Zanjan,1884.454512,4.2,3.4,839.98,0,4.8,44
4/26/2019,88118,Zanjan (Airport),OITZ,Zanjan,1892.846175,3.4,5.3,839.08,0,1.2,40.6
4/27/2019,88118,Zanjan (Airport),OITZ,Zanjan,1874.324407,1.6,7.9,837.6,0,4.2,40.8
4/28/2019,88118,Zanjan (Airport),OITZ,Zanjan,1878.440307,1.8,11.1,834.88,0.01,6.6,43.2
4/29/2019,88118,Zanjan (Airport),OITZ,Zanjan,1885.695546,2.4,10.4,836.1,0,4.2,43.6
4/30/2019,88118,Zanjan (Airport),OITZ,Zanjan,1885.383189,3,11.9,837,0.6,3.4,49
5/1/2019,88118,Zanjan (Airport),OITZ,Zanjan,1887.931474,4.2,14,835.64,0,4.2,32.4
5/2/2019,88118,Zanjan (Airport),OITZ,Zanjan,1895.919105,1.8,14.8,834.7,0,5.2,38.6
5/3/2019,88118,Zanjan (Airport),OITZ,Zanjan,1890.298844,5.2,15.6,835.18,0,6.8,39
5/4/2019,88118,Zanjan (Airport),OITZ,Zanjan,1888.672753,5.2,15.5,833.14,0.6,7.4,60.8
5/5/2019,88118,Zanjan (Airport),OITZ,Zanjan,1887.753617,3.6,13.6,836.34,9,1.2,46.4
5/6/2019,88118,Zanjan (Airport),OITZ,Zanjan,1899.382044,3,14.1,837.2,0,2,39
5/7/2019,88118,Zanjan (Airport),OITZ,Zanjan,1880.918385,2,14.7,835.36,0,6,46.8
5/8/2019,88118,Zanjan (Airport),OITZ,Zanjan,1892.107356,6,15.3,833.3,0.7,4.2,42.2
5/9/2019,88118,Zanjan (Airport),OITZ,Zanjan,1900.034243,4.6,16.5,834.16,0.01,6.6,56.4
5/10/2019,88118,Zanjan (Airport),OITZ,Zanjan,1889.220011,4.8,14.4,834.6,13,7,79.4
5/11/2019,88118,Zanjan (Airport),OITZ,Zanjan,1886.842744,2,11.9,836.16,15,2.8,56.6
5/12/2019,88118,Zanjan (Airport),OITZ,Zanjan,1854.480602,1,15.4,837.48,0,0.8,47.2
5/13/2019,88118,Zanjan (Airport),OITZ,Zanjan,1897.357302,2.4,15.5,837.86,0,1.4,41.6
5/14/2019,88118,Zanjan (Airport),OITZ,Zanjan,1903.579386,1.8,16.8,837,0,1.6,40.2
5/15/2019,88118,Zanjan (Airport),OITZ,Zanjan,1898.500811,2.2,15.9,837,0,0.4,41.2
5/16/2019,88118,Zanjan (Airport),OITZ,Zanjan,1913.834005,2.4,18.1,835.44,0,0.8,38.6
5/17/2019,88118,Zanjan (Airport),OITZ,Zanjan,1904.200815,2.8,17,834.78,0,1.4,37.4
5/18/2019,88118,Zanjan (Airport),OITZ,Zanjan,1902.131861,3.6,17.7,834.88,0,3.6,38.6
