date,Mean_CH4,ffm,tm,um
5/12/2019 0:00,1854.480592,2.4,15.9,44.4
5/13/2019 0:00,1854.405999,3,16.1,40.4
5/14/2019 0:00,1854.331406,2.2,17.3,36.4
5/15/2019 0:00,1854.256813,3,16,39.6
5/16/2019 0:00,1854.18222,2.6,16.7,38.2
5/17/2019 0:00,1854.107627,3.8,17.2,33.8
5/18/2019 0:00,1854.033034,3.4,17.8,38.8
5/19/2019 0:00,1853.958441,5,18.9,42
5/20/2019 0:00,1853.883848,4.33333,18.6,43.3333
5/21/2019 0:00,1853.809255,4.8,18.6,45.6
5/22/2019 0:00,1853.734662,3.4,15.2,55.6
5/23/2019 0:00,1853.660069,3.6,17.3,41.6
5/24/2019 0:00,1853.585476,4.4,19.9,32.8
5/25/2019 0:00,1853.510883,5.2,20.4,30.4
5/26/2019 0:00,1853.43629,3.6,22.8,31.2
5/27/2019 0:00,1853.361697,5.4,22.6,21.6
5/28/2019 0:00,1853.287104,2.2,18.3,41.4
5/29/2019 0:00,1853.212511,2.6,17.9,46.4
5/30/2019 0:00,1853.137918,2.8,16.3,38.6
5/31/2019 0:00,1853.063325,3.2,14.1,41.2
6/1/2019 0:00,1852.988732,2,15.8,37
6/2/2019 0:00,1852.914139,2.4,17.1,25.6
6/3/2019 0:00,1852.839545,2,19.3,23
6/4/2019 0:00,1852.764952,2.6,21.5,25.6
6/5/2019 0:00,1852.690359,3.2,23.8,23
6/6/2019 0:00,1852.615766,3.8,24.8,31
6/7/2019 0:00,1852.541173,3.8,26,26.6
6/8/2019 0:00,1852.46658,3,24.6,35.4
6/9/2019 0:00,1852.391987,2.6,21.4,38.6
6/10/2019 0:00,1852.317394,2,20.5,34.6
6/11/2019 0:00,1852.242801,2.6,22.5,36.2
6/12/2019 0:00,1852.168208,4,22.4,38.2
6/13/2019 0:00,1852.093615,3,22,35.2
6/14/2019 0:00,1852.019022,3.2,21.1,35.6
6/15/2019 0:00,1851.944429,2.2,20.2,35.2
6/16/2019 0:00,1851.869836,2.2,21.8,29.4
6/17/2019 0:00,1851.795243,1.8,23.7,22.4
6/18/2019 0:00,1851.72065,3.2,23.2,21.8
6/19/2019 0:00,1851.646057,3.5,21.5,34.25
6/20/2019 0:00,1851.571464,2,21.6,34
6/21/2019 0:00,1851.496871,1.8,23.1,30.2
6/22/2019 0:00,1851.422278,1.4,23.6,36.6
6/23/2019 0:00,1851.347685,2.4,26.1,32
6/24/2019 0:00,1851.273092,3.4,26.8,22.4
6/25/2019 0:00,1854.972287,3.6,27.5,23.2
6/26/2019 0:00,1878.118411,2.4,25,27.8
6/27/2019 0:00,1846.947007,2,24.5,30
6/28/2019 0:00,1844.371452,2.2,25.1,36
6/29/2019 0:00,1841.795897,4.4,27.2,22.8
6/30/2019 0:00,1846.657982,3.8,25.8,19.6
7/1/2019 0:00,1851.520067,3.8,21.5,39.8
7/2/2019 0:00,1856.382151,4.2,18.1,34.8
7/3/2019 0:00,1861.244236,2.8,21,32.6
7/4/2019 0:00,1866.106321,2.8,24.5,31.2
7/5/2019 0:00,1861.996382,2.4,24.6,29.4
7/6/2019 0:00,1882.769411,2.2,24.3,29.4
